algorithm,n,build,query
RedBlackSearchTree,32,44,5
HashingWithChaining,32,31,6
PerfectHashing,32,741,1
RedBlackSearchTree,32,11,4
HashingWithChaining,32,18,5
PerfectHashing,32,753,1
RedBlackSearchTree,32,9,4
HashingWithChaining,32,21,5
PerfectHashing,32,668,1
RedBlackSearchTree,32,10,4
HashingWithChaining,32,66,5
PerfectHashing,32,680,1
RedBlackSearchTree,32,10,4
HashingWithChaining,32,16,5
PerfectHashing,32,749,1
RedBlackSearchTree,64,19,8
HashingWithChaining,64,42,9
PerfectHashing,64,1360,2
RedBlackSearchTree,64,20,8
HashingWithChaining,64,27,9
PerfectHashing,64,1362,2
RedBlackSearchTree,64,17,7
HashingWithChaining,64,41,8
PerfectHashing,64,1130,2
RedBlackSearchTree,64,17,7
HashingWithChaining,64,27,7
PerfectHashing,64,1112,1
RedBlackSearchTree,64,16,7
HashingWithChaining,64,23,7
PerfectHashing,64,1208,1
RedBlackSearchTree,128,34,15
HashingWithChaining,128,51,14
PerfectHashing,128,2311,3
RedBlackSearchTree,128,33,16
HashingWithChaining,128,44,15
PerfectHashing,128,2426,3
RedBlackSearchTree,128,35,24
HashingWithChaining,128,55,16
PerfectHashing,128,2348,3
RedBlackSearchTree,128,35,16
HashingWithChaining,128,42,15
PerfectHashing,128,2328,3
RedBlackSearchTree,128,35,15
HashingWithChaining,128,46,15
PerfectHashing,128,2399,3
RedBlackSearchTree,256,70,33
HashingWithChaining,256,83,28
PerfectHashing,256,4546,5
RedBlackSearchTree,256,65,32
HashingWithChaining,256,77,29
PerfectHashing,256,4403,5
RedBlackSearchTree,256,66,31
HashingWithChaining,256,72,28
PerfectHashing,256,4293,5
RedBlackSearchTree,256,65,30
HashingWithChaining,256,79,29
PerfectHashing,256,4176,5
RedBlackSearchTree,256,64,30
HashingWithChaining,256,79,27
PerfectHashing,256,4145,5
RedBlackSearchTree,512,136,62
HashingWithChaining,512,147,52
PerfectHashing,512,8098,10
RedBlackSearchTree,512,126,61
HashingWithChaining,512,133,53
PerfectHashing,512,7968,11
RedBlackSearchTree,512,133,74
HashingWithChaining,512,128,52
PerfectHashing,512,7913,10
RedBlackSearchTree,512,126,60
HashingWithChaining,512,128,50
PerfectHashing,512,7931,19
RedBlackSearchTree,512,127,60
HashingWithChaining,512,129,53
PerfectHashing,512,7696,17
RedBlackSearchTree,1024,262,126
HashingWithChaining,1024,242,103
PerfectHashing,1024,15248,28
RedBlackSearchTree,1024,276,136
HashingWithChaining,1024,291,95
PerfectHashing,1024,15383,26
RedBlackSearchTree,1024,263,118
HashingWithChaining,1024,239,97
PerfectHashing,1024,15073,18
RedBlackSearchTree,1024,250,119
HashingWithChaining,1024,247,99
PerfectHashing,1024,15287,19
RedBlackSearchTree,1024,253,120
HashingWithChaining,1024,231,94
PerfectHashing,1024,15311,18
RedBlackSearchTree,2048,523,252
HashingWithChaining,2048,454,192
PerfectHashing,2048,30621,62
RedBlackSearchTree,2048,609,253
HashingWithChaining,2048,513,194
PerfectHashing,2048,31180,70
RedBlackSearchTree,2048,550,277
HashingWithChaining,2048,506,193
PerfectHashing,2048,31978,77
RedBlackSearchTree,2048,575,283
HashingWithChaining,2048,496,209
PerfectHashing,2048,31744,63
RedBlackSearchTree,2048,532,270
HashingWithChaining,2048,464,193
PerfectHashing,2048,30790,50
RedBlackSearchTree,4096,1103,559
HashingWithChaining,4096,921,387
PerfectHashing,4096,61448,131
RedBlackSearchTree,4096,1069,554
HashingWithChaining,4096,1137,426
PerfectHashing,4096,63307,142
RedBlackSearchTree,4096,1078,563
HashingWithChaining,4096,896,391
PerfectHashing,4096,61888,126
RedBlackSearchTree,4096,1104,571
HashingWithChaining,4096,934,392
PerfectHashing,4096,61029,81
RedBlackSearchTree,4096,1088,555
HashingWithChaining,4096,951,389
PerfectHashing,4096,59680,81
RedBlackSearchTree,8192,2274,1220
HashingWithChaining,8192,1809,789
PerfectHashing,8192,125715,310
RedBlackSearchTree,8192,2267,1227
HashingWithChaining,8192,1847,812
PerfectHashing,8192,120507,249
RedBlackSearchTree,8192,2356,1214
HashingWithChaining,8192,1834,788
PerfectHashing,8192,121665,295
RedBlackSearchTree,8192,2285,1275
HashingWithChaining,8192,1909,850
PerfectHashing,8192,121132,215
RedBlackSearchTree,8192,2238,1213
HashingWithChaining,8192,1845,793
PerfectHashing,8192,121781,283
RedBlackSearchTree,16384,4962,2703
HashingWithChaining,16384,3894,1695
PerfectHashing,16384,242752,603
RedBlackSearchTree,16384,4804,2676
HashingWithChaining,16384,3633,1678
PerfectHashing,16384,241938,650
RedBlackSearchTree,16384,4823,2831
HashingWithChaining,16384,3687,1663
PerfectHashing,16384,242549,612
RedBlackSearchTree,16384,4855,2642
HashingWithChaining,16384,3594,1666
PerfectHashing,16384,241971,637
RedBlackSearchTree,16384,4886,2632
HashingWithChaining,16384,3804,1680
PerfectHashing,16384,245077,667
RedBlackSearchTree,32768,10315,5841
HashingWithChaining,32768,7265,3375
PerfectHashing,32768,493205,1531
RedBlackSearchTree,32768,11175,6077
HashingWithChaining,32768,7837,3441
PerfectHashing,32768,497019,1557
RedBlackSearchTree,32768,10360,6099
HashingWithChaining,32768,7482,3582
PerfectHashing,32768,493299,1736
RedBlackSearchTree,32768,10350,5887
HashingWithChaining,32768,7383,3395
PerfectHashing,32768,488268,1473
RedBlackSearchTree,32768,10102,5813
HashingWithChaining,32768,7424,3511
PerfectHashing,32768,484369,1200
RedBlackSearchTree,65536,21422,12993
HashingWithChaining,65536,15113,7050
PerfectHashing,65536,984137,3400
RedBlackSearchTree,65536,21442,13036
HashingWithChaining,65536,15009,7817
PerfectHashing,65536,1000865,4180
RedBlackSearchTree,65536,22832,13567
HashingWithChaining,65536,15792,8558
PerfectHashing,65536,989816,3716
RedBlackSearchTree,65536,21487,13500
HashingWithChaining,65536,14924,6771
PerfectHashing,65536,1164382,4058
RedBlackSearchTree,65536,23199,13693
HashingWithChaining,65536,15535,7383
PerfectHashing,65536,979805,4338
