n,count
2,2
2,2
2,1
2,2
2,1
4,1
4,3
4,1
4,2
4,1
8,3
8,3
8,2
8,4
8,2
16,2
16,3
16,3
16,3
16,4
32,2
32,3
32,4
32,4
32,5
64,4
64,3
64,3
64,4
64,3
128,6
128,4
128,3
128,5
128,4
256,4
256,4
256,5
256,4
256,4
512,5
512,6
512,4
512,5
512,5
1024,5
1024,5
1024,5
1024,7
1024,6
2048,7
2048,6
2048,5
2048,7
2048,6
4096,6
4096,6
4096,6
4096,6
4096,7
8192,7
8192,6
8192,6
8192,7
8192,7
16384,6
16384,7
16384,7
16384,6
16384,7
32768,8
32768,7
32768,8
32768,7
32768,7
65536,8
65536,8
65536,8
65536,7
65536,7
131072,7
131072,8
131072,9
131072,8
131072,8
262144,9
262144,8
262144,9
262144,10
262144,8
524288,8
524288,8
524288,8
524288,9
524288,8
1048576,10
1048576,9
1048576,9
1048576,8
1048576,10
2097152,9
2097152,9
2097152,10
2097152,9
2097152,10
4194304,10
4194304,10
4194304,10
4194304,9
4194304,9
8388608,9
8388608,9
8388608,9
8388608,9
8388608,10
16777216,11
16777216,10
16777216,9
16777216,11
16777216,9
33554432,10
33554432,11
33554432,10
33554432,11
33554432,11
67108864,10
67108864,10
