n,hashes,secondary_rehashes
1024,1,81
1024,1,60
1024,1,46
1024,1,66
1024,1,87
2048,1,137
2048,1,101
2048,1,121
2048,1,116
2048,1,118
4096,1,214
4096,1,291
4096,1,247
4096,1,255
4096,1,253
8192,1,496
8192,1,505
8192,1,514
8192,1,536
8192,1,544
16384,1,1086
16384,1,1026
16384,1,1063
16384,1,1035
16384,1,1062
32768,1,2058
32768,1,2130
32768,1,2023
32768,1,2123
32768,1,2060
65536,1,4099
65536,1,4224
65536,1,4215
65536,1,4331
65536,1,4149
131072,1,8306
131072,1,8516
131072,1,8403
131072,1,8474
131072,1,8271
262144,1,16800
262144,1,16586
262144,1,16668
262144,1,16535
262144,1,16581
524288,1,33253
524288,1,33485
524288,1,33415
524288,1,33095
524288,1,33228
1048576,1,67017
1048576,1,66672
1048576,1,66343
1048576,1,65806
1048576,1,66734
2097152,1,132809
2097152,1,133695
2097152,1,133501
2097152,1,133506
2097152,1,132831
4194304,1,267547
4194304,1,266931
4194304,1,266293
4194304,1,266402
4194304,1,267835
8388608,1,531200
8388608,1,531591
8388608,1,531567
8388608,1,532962
8388608,1,532935
16777216,1,1062881
16777216,1,1062108
16777216,1,1060025
16777216,1,1060728
16777216,1,1061313
33554432,1,2112117
33554432,1,2111130
33554432,1,2114070
33554432,1,2112176
33554432,1,2113687
