n,time
0,36272
1,35787
2,35978
3,35936
4,35875
5,35919
6,35726
7,35699
8,35873
9,35937
10,36279
11,36016
12,35451
13,35751
14,38608
15,35766
16,35753
17,35243
18,35877
19,35810
20,35922
21,35886
22,35881
23,35864
24,36002
25,35904
26,35873
27,35448
28,35655
29,35709
30,35226
31,35889
32,35787
33,35483
34,35949
35,35516
36,35976
37,35609
38,35714
39,36147
40,36026
41,35869
42,35403
43,35932
44,35861
45,36025
46,35970
47,35480
48,35858
49,36057
50,35945
51,35424
52,35937
53,35302
54,35869
55,35754
56,36075
57,35738
58,35798
59,35890
60,35881
61,35811
62,35871
63,36190
64,35695
65,35915
66,35745
67,35897
68,35864
69,35844
70,35547
71,35834
72,35905
73,35748
74,35826
75,35877
76,35697
77,35743
78,35846
79,35840
80,35846
81,35857
82,35834
83,35922
84,35726
85,35760
86,35890
87,35799
88,35874
89,35867
90,35738
91,35877
92,35893
93,35886
94,35857
95,35845
96,35869
97,35764
98,35886
99,35834
100,35808
101,35884
102,35797
103,35851
104,35891
105,35882
106,35851
107,35852
108,35817
109,35464
110,35823
111,35851
112,36024
113,36002
114,35928
115,35928
116,35889
117,35826
118,35846
119,35872
120,35684
121,36189
122,35938
123,35977
124,35851
125,35794
126,35916
127,35861
128,35898
129,35882
130,35975
131,35832
132,35700
133,35907
134,35897
135,35897
136,35992
137,35987
138,35851
139,35865
140,35795
141,35892
142,35613
143,35890
144,35841
145,35902
146,35779
147,35868
148,36019
149,35846
150,35863
151,35887
152,35869
153,35547
154,35860
155,35856
156,35776
157,35623
158,35789
159,35880
160,35812
161,35783
162,35777
163,35875
164,35779
165,35794
166,35560
167,35858
168,35787
169,35684
170,35848
171,35960
172,35773
173,35833
174,35533
175,35646
176,35824
177,35628
178,35656
179,35809
180,35840
181,35580
182,35851
183,35920
184,35871
185,35791
186,35857
187,35841
188,35578
189,35892
190,35884
191,35831
192,35943
193,35877
194,35915
195,35908
196,35867
197,35705
198,35815
199,35851
200,35863
201,35857
202,35654
203,35719
204,35783
205,36063
206,35864
207,35638
208,35893
209,35782
210,35921
211,35798
212,35907
213,35542
214,35900
215,35884
216,35907
217,35860
218,35857
219,35904
220,35618
221,35880
222,35875
223,35851
