n,time
0,5642
1,5488
2,5348
3,5344
4,5350
5,5337
6,5380
7,5321
8,5332
9,5346
10,5338
11,5349
12,5326
13,5356
14,5322
15,5329
16,5330
17,5397
18,5331
19,5368
20,5461
21,5329
22,5327
23,5286
24,5345
25,5303
26,5317
27,5329
28,5334
29,5334
30,5329
31,5331
32,5310
33,5304
34,5296
35,5371
36,5306
37,5324
38,5343
39,5327
40,5381
41,5334
42,5368
43,5337
44,5422
45,5475
46,5257
47,5330
48,5347
49,5348
50,5326
51,5337
52,5328
53,5343
54,5309
55,5305
56,5325
57,5304
58,5348
59,5305
60,5317
61,5367
62,5316
63,5334
64,5324
65,5396
66,5358
67,5664
68,5482
69,5393
70,5381
71,5360
72,5328
73,5328
74,5333
75,5343
76,5333
77,5308
78,5341
79,5326
80,5328
81,5301
82,5370
83,5327
84,5323
85,5322
86,5331
87,5329
88,5302
89,5328
90,5322
91,5327
92,5327
93,5322
94,5332
95,6926
96,5355
97,5226
98,5324
99,5345
100,5328
101,5325
102,5345
103,5375
104,5486
105,5343
106,5320
107,5328
108,5342
109,5342
110,5344
111,5366
112,5332
113,5379
114,5328
115,5337
116,5341
117,5347
118,5370
119,5380
120,5356
121,5369
122,5354
123,5355
124,5375
125,5300
126,5345
127,5331
128,5362
129,5333
130,5372
131,5364
132,5318
133,5386
134,5348
135,5321
136,5353
137,5380
138,5335
139,5349
140,5354
141,5331
142,5331
143,5333
144,5334
145,5339
146,5345
147,5336
148,5330
149,5328
150,5326
151,5336
152,5358
153,5292
154,5355
155,5263
156,5348
157,5441
158,5335
159,5360
160,5365
161,5337
162,5360
163,5344
164,5344
165,5354
166,5340
167,5337
168,5345
169,5416
170,5359
171,5371
172,5329
173,5327
174,5334
175,5345
176,5331
177,5330
178,5341
179,5327
180,5326
181,5338
182,5349
183,5353
184,5333
185,5339
186,5327
187,5314
188,5332
189,5326
190,5333
191,5329
192,5331
193,5327
194,5339
195,5325
196,5326
197,5329
198,5341
199,5332
200,5325
201,5331
202,5339
203,5329
204,5327
205,5330
206,5360
207,5330
208,5366
209,5338
210,5346
211,5333
212,5294
213,5346
214,5355
215,5333
216,5334
217,5342
218,5333
219,5247
220,5282
221,5348
222,5369
223,5337
224,5345
225,5367
226,5350
227,5351
228,5524
229,5352
230,5342
231,5331
232,5340
233,5338
234,5334
235,5369
236,5336
237,5337
238,5329
239,5340
240,5329
241,5326
242,5342
243,5384
244,5360
245,5335
246,5448
247,5423
248,5335
249,5329
250,5330
251,5349
252,5327
253,5348
254,5363
255,5340
256,5359
257,5330
258,5313
259,5362
260,5358
261,5366
262,5338
263,5373
264,5348
265,5350
266,5330
267,5344
268,5326
269,5361
270,5327
271,5344
272,5330
273,5383
274,5211
275,5361
276,5331
277,5328
278,5329
279,5334
280,5274
281,5301
282,5336
283,5344
284,5334
285,5338
286,5340
287,5336
288,5336
289,5351
290,5339
291,5350
292,5357
293,5380
294,5532
295,7121
296,5367
297,5315
298,5368
299,5345
300,5341
301,5307
302,5367
303,5363
304,5346
305,5340
306,5354
307,5341
308,5360
309,5346
310,5343
311,5367
312,5333
313,5327
314,5328
315,5324
316,5356
317,5265
318,5332
319,5304
320,5328
321,5341
322,5327
323,5332
324,5342
325,5336
326,5350
327,5357
328,5360
329,5361
330,5352
331,5363
332,5335
333,5331
334,5349
335,5325
336,5345
337,5337
338,5332
339,5336
340,5359
341,5376
342,5378
343,5557
344,5529
345,5349
346,5330
347,5336
348,5271
349,5359
350,5331
351,5339
352,5351
353,5342
354,5355
355,5336
356,5327
357,5325
358,5521
359,5647
360,5337
361,5340
362,5340
363,5330
364,5339
365,5362
366,5530
367,5439
368,5341
369,5277
370,5330
371,5314
372,5245
373,5306
374,5315
375,5353
376,5300
377,5339
378,5330
379,5329
380,5234
381,5346
382,5333
383,5336
384,5336
385,5330
386,5355
387,5305
388,5359
389,5323
390,5359
391,5299
392,5356
393,5331
394,5327
395,5353
396,5333
397,5339
398,5358
399,5337
400,5333
401,5341
402,5334
403,5351
404,5364
405,5327
406,5335
407,5334
408,5349
409,5329
410,5327
411,5334
412,5342
413,5345
414,5334
415,5340
416,5347
417,5341
418,5341
419,5333
420,5340
421,5381
422,5332
423,5325
424,5344
425,5325
426,5327
427,5330
428,5350
429,5502
430,5340
431,5336
432,5329
433,5281
434,5358
435,5331
436,5350
437,5249
438,5356
439,5342
440,5338
441,5311
442,5294
443,5321
444,5351
445,5339
446,5339
447,5339
448,5342
449,5354
450,5343
