r,error
8,0.341190
8,0.089455
8,1.081991
8,0.284347
8,0.343420
8,0.135250
8,0.230031
8,0.134018
8,1.267624
8,0.109888
8,0.323417
8,2.821055
8,0.302271
8,0.350004
8,0.452280
8,0.420579
8,0.611913
8,0.299417
8,0.323917
8,0.174766
8,0.554382
8,0.228845
8,0.031671
8,0.959000
8,0.407248
8,0.000302
8,0.503166
8,0.107855
8,0.378853
8,0.381390
8,0.239800
8,0.500524
8,0.420737
8,0.353888
8,0.680610
8,0.520444
8,0.052390
8,0.382495
8,0.167274
8,0.017945
8,0.814173
8,0.130819
8,0.545069
8,0.009005
8,0.380471
8,0.252422
8,0.253904
8,0.007032
8,1.045391
8,0.575033
8,0.322742
8,0.029094
8,0.341422
8,0.030639
8,0.483712
8,0.177165
8,0.199859
8,0.246442
8,0.422828
8,0.557754
8,0.012820
8,0.921973
8,0.155448
8,0.380474
8,0.088553
8,0.618934
8,0.050840
8,0.143348
8,0.029304
8,0.797938
8,0.708850
8,0.415918
8,1.284788
8,0.243772
8,0.083615
8,0.381181
8,0.025353
8,0.352327
8,0.674922
8,0.417339
8,0.285275
8,0.727466
8,0.279370
8,0.445318
8,0.282515
8,1.392674
8,0.341537
8,0.681005
8,0.139493
8,0.205878
8,0.144402
8,0.725598
8,0.347532
8,0.516531
8,0.632357
8,0.068135
8,0.324916
8,0.646167
8,0.148394
8,0.322773
16,0.072560
16,0.067836
16,0.101140
16,0.131558
16,0.029849
16,0.084922
16,0.367225
16,0.502561
16,0.469961
16,0.629913
16,0.071223
16,0.443061
16,0.255456
16,0.091428
16,0.284836
16,0.603773
16,0.162267
16,0.470455
16,0.062282
16,0.532166
16,0.524972
16,0.378511
16,0.308334
16,0.272748
16,0.627991
16,0.400065
16,0.111743
16,0.120319
16,0.441584
16,0.048337
16,0.398148
16,0.068720
16,0.126760
16,0.259373
16,0.344475
16,1.000507
16,0.305560
16,0.030040
16,0.473457
16,0.118724
16,0.803550
16,0.190778
16,0.355247
16,0.109805
16,0.051585
16,0.213330
16,0.000600
16,0.130151
16,0.225053
16,0.160015
16,0.124392
16,0.069602
16,0.011840
16,0.218668
16,0.041923
16,0.046463
16,0.065379
