algorithm,n,build,query
RedBlackSearchTree,32,17,3
HashingWithChaining,32,29,4
PerfectHashing,32,94,1
RedBlackSearchTree,32,10,3
HashingWithChaining,32,18,3
PerfectHashing,32,62,1
RedBlackSearchTree,32,7,3
HashingWithChaining,32,18,3
PerfectHashing,32,83,1
RedBlackSearchTree,32,8,3
HashingWithChaining,32,18,3
PerfectHashing,32,78,1
RedBlackSearchTree,32,14,3
HashingWithChaining,32,25,4
PerfectHashing,32,47,1
RedBlackSearchTree,32,16,3
HashingWithChaining,32,27,3
PerfectHashing,32,71,1
RedBlackSearchTree,32,8,3
HashingWithChaining,32,17,3
PerfectHashing,32,40,0
RedBlackSearchTree,32,7,3
HashingWithChaining,32,17,3
PerfectHashing,32,54,1
RedBlackSearchTree,32,7,3
HashingWithChaining,32,17,3
PerfectHashing,32,79,1
RedBlackSearchTree,32,7,3
HashingWithChaining,32,17,3
PerfectHashing,32,92,1
RedBlackSearchTree,64,14,6
HashingWithChaining,64,24,6
PerfectHashing,64,182,2
RedBlackSearchTree,64,14,6
HashingWithChaining,64,25,6
PerfectHashing,64,177,1
RedBlackSearchTree,64,14,6
HashingWithChaining,64,25,6
PerfectHashing,64,130,1
RedBlackSearchTree,64,14,6
HashingWithChaining,64,23,6
PerfectHashing,64,121,1
RedBlackSearchTree,64,15,6
HashingWithChaining,64,25,6
PerfectHashing,64,154,2
RedBlackSearchTree,64,13,6
HashingWithChaining,64,24,6
PerfectHashing,64,186,1
RedBlackSearchTree,64,20,6
HashingWithChaining,64,24,6
PerfectHashing,64,143,2
RedBlackSearchTree,64,16,6
HashingWithChaining,64,24,6
PerfectHashing,64,168,1
RedBlackSearchTree,64,25,6
HashingWithChaining,64,24,6
PerfectHashing,64,109,1
RedBlackSearchTree,64,14,6
HashingWithChaining,64,24,6
PerfectHashing,64,121,2
RedBlackSearchTree,128,28,12
HashingWithChaining,128,37,12
PerfectHashing,128,308,3
RedBlackSearchTree,128,28,12
HashingWithChaining,128,37,12
PerfectHashing,128,228,3
RedBlackSearchTree,128,30,13
HashingWithChaining,128,43,12
PerfectHashing,128,302,3
RedBlackSearchTree,128,29,12
HashingWithChaining,128,37,12
PerfectHashing,128,316,4
RedBlackSearchTree,128,27,12
HashingWithChaining,128,37,12
PerfectHashing,128,272,3
RedBlackSearchTree,128,34,13
HashingWithChaining,128,44,12
PerfectHashing,128,244,3
RedBlackSearchTree,128,28,12
HashingWithChaining,128,50,12
PerfectHashing,128,330,3
RedBlackSearchTree,128,34,19
HashingWithChaining,128,36,12
PerfectHashing,128,303,3
