n,count
1024,5
1024,5
1024,5
1024,8
1024,6
2048,7
2048,6
2048,7
2048,6
2048,6
4096,6
4096,7
4096,6
4096,6
4096,7
8192,7
8192,6
8192,7
8192,7
8192,6
16384,7
16384,7
16384,7
16384,7
16384,6
32768,7
32768,7
32768,6
32768,7
32768,7
65536,7
65536,7
65536,9
65536,7
65536,7
131072,8
131072,7
131072,8
131072,8
131072,8
262144,8
262144,8
262144,8
262144,8
262144,8
524288,8
524288,11
524288,8
524288,9
524288,8
1048576,8
1048576,8
1048576,8
1048576,9
1048576,8
2097152,9
2097152,9
2097152,9
2097152,9
2097152,9
4194304,9
4194304,9
4194304,9
4194304,11
4194304,10
8388608,10
8388608,9
8388608,10
8388608,11
8388608,9
16777216,10
16777216,9
16777216,10
16777216,10
16777216,10
33554432,10
33554432,11
33554432,9
33554432,12
33554432,10
