algorithm,n,build,query
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,1024,0,0
HashingWithChaining,1024,0,0
PerfectHashing,1024,2,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,2048,0,0
HashingWithChaining,2048,0,0
PerfectHashing,2048,4,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,9,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,4096,1,0
HashingWithChaining,4096,0,0
PerfectHashing,4096,8,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,16,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,8192,2,1
HashingWithChaining,8192,1,0
PerfectHashing,8192,17,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,37,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,34,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,35,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,35,0
RedBlackSearchTree,16384,4,2
HashingWithChaining,16384,3,1
PerfectHashing,16384,36,0
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,68,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,71,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,67,1
RedBlackSearchTree,32768,9,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,69,1
RedBlackSearchTree,32768,10,5
HashingWithChaining,32768,7,3
PerfectHashing,32768,69,1
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,14,6
PerfectHashing,65536,138,2
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,14,6
PerfectHashing,65536,144,3
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,14,6
PerfectHashing,65536,141,3
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,15,6
PerfectHashing,65536,139,3
RedBlackSearchTree,65536,21,12
HashingWithChaining,65536,14,6
PerfectHashing,65536,138,2
RedBlackSearchTree,131072,45,26
HashingWithChaining,131072,29,13
PerfectHashing,131072,289,6
RedBlackSearchTree,131072,46,26
HashingWithChaining,131072,29,13
PerfectHashing,131072,296,7
RedBlackSearchTree,131072,45,26
HashingWithChaining,131072,29,13
PerfectHashing,131072,289,7
RedBlackSearchTree,131072,46,26
HashingWithChaining,131072,29,13
PerfectHashing,131072,283,8
RedBlackSearchTree,131072,45,26
HashingWithChaining,131072,29,13
PerfectHashing,131072,285,7
RedBlackSearchTree,262144,94,56
HashingWithChaining,262144,63,28
PerfectHashing,262144,578,20
RedBlackSearchTree,262144,101,57
HashingWithChaining,262144,62,27
PerfectHashing,262144,571,20
RedBlackSearchTree,262144,95,59
HashingWithChaining,262144,62,27
PerfectHashing,262144,584,19
RedBlackSearchTree,262144,94,56
HashingWithChaining,262144,63,28
PerfectHashing,262144,574,19
RedBlackSearchTree,262144,95,58
HashingWithChaining,262144,63,32
PerfectHashing,262144,574,21
RedBlackSearchTree,524288,214,140
HashingWithChaining,524288,124,72
PerfectHashing,524288,1179,45
RedBlackSearchTree,524288,217,138
HashingWithChaining,524288,127,80
PerfectHashing,524288,1180,44
RedBlackSearchTree,524288,202,145
HashingWithChaining,524288,126,78
PerfectHashing,524288,1166,44
RedBlackSearchTree,524288,204,144
HashingWithChaining,524288,126,80
PerfectHashing,524288,1186,43
RedBlackSearchTree,524288,227,141
HashingWithChaining,524288,124,72
PerfectHashing,524288,1160,44
RedBlackSearchTree,1048576,519,339
HashingWithChaining,1048576,271,222
PerfectHashing,1048576,2388,100
RedBlackSearchTree,1048576,489,322
HashingWithChaining,1048576,269,220
PerfectHashing,1048576,2405,103
RedBlackSearchTree,1048576,512,341
HashingWithChaining,1048576,270,201
PerfectHashing,1048576,2361,105
RedBlackSearchTree,1048576,469,333
HashingWithChaining,1048576,286,224
PerfectHashing,1048576,2397,99
RedBlackSearchTree,1048576,511,322
HashingWithChaining,1048576,272,246
PerfectHashing,1048576,2367,102
RedBlackSearchTree,2097152,1201,881
HashingWithChaining,2097152,587,550
PerfectHashing,2097152,4812,227
RedBlackSearchTree,2097152,1231,884
HashingWithChaining,2097152,595,573
PerfectHashing,2097152,4783,225
RedBlackSearchTree,2097152,1190,880
HashingWithChaining,2097152,595,523
PerfectHashing,2097152,4774,230
RedBlackSearchTree,2097152,1218,890
HashingWithChaining,2097152,587,549
PerfectHashing,2097152,4821,223
RedBlackSearchTree,2097152,1207,859
HashingWithChaining,2097152,586,542
PerfectHashing,2097152,4779,232
